Console,GameName,Review,Score,Score_Category
GBC,X-Men: Mutant Academy Review,Terrible,2,Terrible (2-2.9)
GBC,Towers: Lord Baniff's Deceit Review,Mediocre,5,Mediocre (5-5.9)
DC,Walt Disney World Quest - Magical Racing Tour Review,Good,7,Good (7-7.9)
PC,Dogs of War Review,Mediocre,5,Mediocre (5-5.9)
PC,Warlords Battlecry Review,Great,8,Great (8-8.9)
DC,Mr. Driller Review,Mediocre,5,Mediocre (5-5.9)
GBC,Mr. Driller Review,Good,7,Good (7-7.9)
PC,Heavy Metal: F.A.K.K. 2 Review,Fair,6,Fair (6-6.9)
DC,Midway's Greatest Arcade Hits Volume 1 Review,Mediocre,5,Mediocre (5-5.9)
PC,Dark Reign 2 Review,Great,8,Great (8-8.9)
DC,The Ring: Terror's Realm Review,Poor,4,Poor (4-4.9)
GBC,Warlocked Review,Fair,6,Fair (6-6.9)
DC,Aerowings 2: Air Strike Review,Great,8,Great (8-8.9)
PS,Ball Breakers Review,Mediocre,5,Mediocre (5-5.9)
GBC,Men In Black: The Series 2 Review,Mediocre,5,Mediocre (5-5.9)
N64,Rally Challenge 2000 Review,Poor,4,Poor (4-4.9)
PS,Sno-Cross Championship Racing Review,Good,7,Good (7-7.9)
PS,NCAA Football 2001 Review,Good,7,Good (7-7.9)
GBC,Xtreme Sports Review,Great,8,Great (8-8.9)
GBC,Toonsylvania Review,Poor,4,Poor (4-4.9)
PC,The Sims: Livin' Large Review,Great,8,Great (8-8.9)
DC,Hidden and Dangerous Review,Fair,6,Fair (6-6.9)
DC,Jeremy McGrath Supercross 2000 Review,Mediocre,5,Mediocre (5-5.9)
PS,Jeremy McGrath Supercross 2000 Review,Poor,4,Poor (4-4.9)
PS,Madden NFL 2001 Review,Superb,9,Excellent (9-10)
PS,Star Trek: Invasion Review,Mediocre,5,Mediocre (5-5.9)
GBC,Test Drive Cycles Review,Good,7,Good (7-7.9)
DC,Ultimate Fighting Championship Review,Superb,9,Excellent (9-10)
PS,Vanguard Bandits Review,Fair,6,Fair (6-6.9)
PS,Polaris SnoCross Review,Mediocre,5,Mediocre (5-5.9)
PS,ECW Anarchy Rulz Review,Mediocre,5,Mediocre (5-5.9)
